id,platform,symbol,trade_date,text,label,notes,openclaw_score,openclaw_label,human_label_cat,consensus_label
1,guba,600519.SH,2026-03-15,2026-03-15 19:28:13.545535 2026-03-15 guba 600519.SH 0.41719528234927505 108 stub://guba,,,0.0,neutral,neutral,neutral
2,sina_finance,600519.SH,2026-04-14,2026-05-29 22:48:38.117236 2026-04-14 sina_finance 600519.SH 0.44444444444444403 6 https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,,,0.0,neutral,neutral,neutral
3,sina_finance,000001.SZ,2026-03-15,2026-04-05 09:57:15.692780 2026-03-15 sina_finance 000001.SZ 0.0 6 https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,,,0.0,neutral,neutral,neutral
4,weibo,600519.SH,2026-03-15,2026-05-27 18:04:44.599261 2026-03-15 weibo 600519.SH 0.0 1 https://s.weibo.com/weibo?q=600519.SH,,,0.0,neutral,neutral,neutral
5,guba,000001.SZ,2026-03-14,"2026-03-23 22:38:38.088389 2026-03-14 guba 000001.SZ 0.5 153 https://guba.eastmoney.com/list,sz000001.html",,,0.0,neutral,neutral,neutral
6,sina_finance,601318.SH,2026-03-15,2026-05-27 18:23:46.949514 2026-03-15 sina_finance 601318.SH 0.0 6 https://finance.sina.com.cn/realstock/company/sh601318/nc.shtml,,,0.0,neutral,neutral,neutral
7,sina_finance,601318.SH,2026-04-14,2026-05-29 22:48:44.765309 2026-04-14 sina_finance 601318.SH 0.28571428571428503 6 https://finance.sina.com.cn/realstock/company/sh601318/nc.shtml,,,0.0,neutral,neutral,neutral
8,weibo,601318.SH,2026-03-14,2026-04-05 10:00:20.271653 2026-03-14 weibo 601318.SH 0.0 1 https://s.weibo.com/weibo?q=601318.SH,,,0.0,neutral,neutral,neutral
9,guba,601318.SH,2026-03-14,"2026-03-23 22:21:44.744595 2026-03-14 guba 601318.SH 0.125 140 https://guba.eastmoney.com/list,sh601318.html",,,0.0,neutral,neutral,neutral
10,guba,600519.SH,2026-03-15,"2026-05-27 18:23:22.401777 2026-03-15 guba 600519.SH 0.0 1 https://guba.eastmoney.com/list,sh600519.html",,,0.0,neutral,neutral,neutral
11,sina_finance,600519.SH,2026-03-15,2026-03-23 22:21:45.586848 2026-03-15 sina_finance 600519.SH 0.0 241 https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,,,0.0,neutral,neutral,neutral
12,xueqiu,601318.SH,2026-04-14,2026-05-29 22:48:46.723134 2026-04-14 xueqiu 601318.SH 0.0 6 https://xueqiu.com/S/sh601318,,,0.0,neutral,neutral,neutral
13,weibo,601318.SH,2026-03-15,2026-04-05 09:55:24.897904 2026-03-15 weibo 601318.SH 0.0 1 https://s.weibo.com/weibo?q=601318.SH,,,0.0,neutral,neutral,neutral
14,guba,601318.SH,2026-03-14,"2026-04-05 10:00:19.685271 2026-03-14 guba 601318.SH 0.0 1 https://guba.eastmoney.com/list,sh601318.html",,,0.0,neutral,neutral,neutral
15,weibo,000001.SZ,2026-03-14,2026-03-15 19:28:13.545535 2026-03-14 weibo 000001.SZ 0.6632817870444251 115 stub://weibo,,,0.0,neutral,neutral,neutral
16,sina_finance,600519.SH,2026-03-14,2026-05-27 18:22:22.746357 2026-03-14 sina_finance 600519.SH 0.0 6 https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,,,0.0,neutral,neutral,neutral
17,weibo,000001.SZ,2026-03-15,2026-05-27 18:23:42.573447 2026-03-15 weibo 000001.SZ 0.0 1 https://s.weibo.com/weibo?q=000001.SZ,,,0.0,neutral,neutral,neutral
18,weibo,000001.SZ,2026-03-15,2026-04-05 09:55:24.112213 2026-03-15 weibo 000001.SZ 0.0 1 https://s.weibo.com/weibo?q=000001.SZ,,,0.0,neutral,neutral,neutral
19,sina_finance,600519.SH,2026-03-15,2026-04-05 09:57:14.955380 2026-03-15 sina_finance 600519.SH 0.0 6 https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,,,0.0,neutral,neutral,neutral
